signal_date,execution_date,next_execution_date,actual_exit_date,ticker,side,weight,entry_price,exit_price,asset_return,weighted_return
2018-01-31,2018-02-01,2018-03-01,2018-03-01,AAPL,long,0.5,8.806390387343201,9.332238593259,0.05971211617776584,0.02985605808888292
2018-01-31,2018-02-01,2018-03-01,2018-03-01,NVDA,short,-0.5,5.945563316345215,5.744189262390137,-0.03386963408521304,0.01693481704260652
2018-02-28,2018-03-01,2018-04-02,2018-04-02,AAPL,long,0.5,9.332238593259,8.888557306996628,-0.04754285714285722,-0.02377142857142861
2018-02-28,2018-03-01,2018-04-02,2018-04-02,NVDA,short,-0.5,5.744189262390137,5.468123435974121,-0.04806001574905383,0.024030007874526915
2018-03-29,2018-04-02,2018-05-01,2018-05-01,AAPL,long,0.5,8.888557306996628,9.018675376525492,0.01463882889368806,0.00731941444684403
2018-03-29,2018-04-02,2018-05-01,2018-05-01,NVDA,short,-0.5,5.468123435974121,5.618772029876709,0.027550327944590558,-0.013775163972295279
2018-04-30,2018-05-01,2018-06-01,2018-06-01,AAPL,long,0.5,9.018675376525492,10.30201236791014,0.1422977253095301,0.07114886265476505
2018-04-30,2018-05-01,2018-06-01,2018-06-01,NVDA,short,-0.5,5.618772029876709,6.376698017120361,0.13489174916040914,-0.06744587458020457
2018-05-31,2018-06-01,2018-07-02,2018-07-02,AAPL,long,0.5,10.30201236791014,10.13738811644648,-0.015979814970563333,-0.007989907485281666
2018-05-31,2018-06-01,2018-07-02,2018-07-02,NVDA,short,-0.5,6.376698017120361,5.996007919311523,-0.05970019229180201,0.029850096145901006
2018-06-29,2018-07-02,2018-08-01,2018-08-01,AAPL,long,0.5,10.13738811644648,10.912854985183197,0.07649572649572622,0.03824786324786311
2018-06-29,2018-07-02,2018-08-01,2018-08-01,AMD,short,-0.5,15.159999999999876,18.479999999999844,0.2189973614775722,-0.1094986807387861
2018-07-31,2018-08-01,2018-09-04,2018-09-04,AAPL,long,0.5,10.912854985183197,12.540319409414876,0.14913278206677805,0.07456639103338902
2018-07-31,2018-08-01,2018-09-04,2018-09-04,AMD,short,-0.5,18.479999999999844,28.05999999999978,0.5183982683982693,-0.25919913419913465
2018-08-31,2018-09-04,2018-10-01,2018-10-01,AAPL,long,0.5,12.540319409414876,12.481011540426572,-0.004729374671571529,-0.0023646873357857645
2018-08-31,2018-09-04,2018-10-01,2018-10-01,AMD,short,-0.5,28.05999999999978,31.419999999999767,0.11974340698503272,-0.05987170349251636
2018-09-28,2018-10-01,2018-11-01,2018-11-01,AAPL,long,0.5,12.481011540426572,12.204241485147849,-0.02217529039070687,-0.011087645195353435
2018-09-28,2018-10-01,2018-11-01,2018-11-01,AMD,short,-0.5,31.419999999999767,20.219999999999857,-0.35646085295989793,0.17823042647994897
2018-10-31,2018-11-01,2018-12-03,2018-12-03,AAPL,long,0.5,12.204241485147849,10.292600315612225,-0.15663744214353892,-0.07831872107176946
2018-10-31,2018-11-01,2018-12-03,2018-12-03,AMD,short,-0.5,20.219999999999857,23.709999999999845,0.1726013847675576,-0.0863006923837788
2018-11-30,2018-12-03,2019-01-02,2019-01-02,AAPL,long,0.5,10.292600315612225,8.793591440388884,-0.14563947197576343,-0.07281973598788172
2018-11-30,2018-12-03,2019-01-02,2019-01-02,AMD,short,-0.5,23.709999999999845,18.829999999999878,-0.20582032897511593,0.10291016448755796
2018-12-31,2019-01-02,2019-02-01,2019-02-01,AAPL,long,0.5,8.793591440388884,9.272472433216546,0.054457953394123626,0.027228976697061813
2018-12-31,2019-01-02,2019-02-01,2019-02-01,MSFT,short,-0.5,94.39714813232422,95.94676971435547,0.016415978794815045,-0.008207989397407522
2019-01-31,2019-02-01,2019-03-01,2019-03-01,AAPL,long,0.5,9.272472433216546,9.909391996471186,0.06868929164707138,0.03434464582353569
2019-01-31,2019-02-01,2019-03-01,2019-03-01,AMD,short,-0.5,24.509999999999835,23.679999999999836,-0.03386372909016744,0.01693186454508372
2019-02-28,2019-03-01,2019-04-01,2019-04-01,AAPL,long,0.5,9.909391996471186,10.83145933587762,0.09304983996341942,0.04652491998170971
2019-02-28,2019-03-01,2019-04-01,2019-04-01,AMD,short,-0.5,23.679999999999836,26.359999999999804,0.11317567567567499,-0.056587837837837496
2019-03-29,2019-04-01,2019-05-01,2019-05-01,AAPL,long,0.5,10.83145933587762,11.923440804167305,0.10081572892700219,0.050407864463501095
2019-03-29,2019-04-01,2019-05-01,2019-05-01,AMD,short,-0.5,26.359999999999804,26.809999999999807,0.01707132018209423,-0.008535660091047115
2019-04-30,2019-05-01,2019-06-03,2019-06-03,AAPL,long,0.5,11.923440804167305,9.96982628180874,-0.16384654014265465,-0.08192327007132733
2019-04-30,2019-05-01,2019-06-03,2019-06-03,AMD,short,-0.5,26.809999999999807,27.57999999999981,0.02872062663185404,-0.01436031331592702
2019-05-31,2019-06-03,2019-07-01,2019-07-01,AAPL,long,0.5,9.96982628180874,11.594266012931977,0.162935610431572,0.081467805215786
2019-05-31,2019-06-03,2019-07-01,2019-07-01,MSFT,short,-0.5,112.7662124633789,127.67121887207031,0.13217617301398543,-0.06608808650699272
2019-06-28,2019-07-01,2019-08-01,2019-08-01,AAPL,long,0.5,11.594266012931977,11.99002186810648,0.034133756697757756,0.017066878348878878
2019-06-28,2019-07-01,2019-08-01,2019-08-01,AMD,short,-0.5,31.199999999999765,29.85999999999977,-0.04294871794871813,0.021474358974359065
2019-07-31,2019-08-01,2019-09-03,2019-09-03,AAPL,long,0.5,11.99002186810648,12.014890427924112,0.002074104625595652,0.001037052312797826
2019-07-31,2019-08-01,2019-09-03,2019-09-03,AMD,short,-0.5,29.85999999999977,30.89999999999977,0.03482920294708669,-0.017414601473543345
2019-08-30,2019-09-03,2019-10-01,2019-10-01,NVDA,long,0.5,4.082764148712158,4.32722806930542,0.05987706163981432,0.02993853081990716
2019-08-30,2019-09-03,2019-10-01,2019-10-01,AMD,short,-0.5,30.89999999999977,28.7599999999998,-0.06925566343042033,0.03462783171521017
2019-09-30,2019-10-01,2019-11-01,2019-11-01,AAPL,long,0.5,13.117559741939314,14.942103670426334,0.139091718610864,0.069545859305432
2019-09-30,2019-10-01,2019-11-01,2019-11-01,AMD,short,-0.5,28.7599999999998,34.889999999999745,0.21314325452016658,-0.10657162726008329
2019-10-31,2019-11-01,2019-12-02,2019-12-02,MSFT,long,0.5,135.68704223632812,141.67156982421875,0.04410537284368887,0.022052686421844436
2019-10-31,2019-11-01,2019-12-02,2019-12-02,AMD,short,-0.5,34.889999999999745,38.72999999999973,0.1100601891659505,-0.05503009458297525
2019-11-29,2019-12-02,2020-01-02,2020-01-02,MSFT,long,0.5,141.67156982421875,152.15838623046875,0.07402202445601258,0.03701101222800629
2019-11-29,2019-12-02,2020-01-02,2020-01-02,AMD,short,-0.5,38.72999999999973,49.099999999999646,0.26775109734056257,-0.13387554867028129
2019-12-31,2020-01-02,2020-02-03,2020-02-03,MSFT,long,0.5,152.15838623046875,165.19351196289062,0.08566813867674727,0.04283406933837364
