signal_date,ticker,adj_close_t,market_cap,book_equity,ttm_net_income,pb,ep,size_signal,pb_signal,ep_signal,rank_size,rank_pb,rank_ep,ff3_score
2018-01-31,AAPL,8.787497058741033,841365404880.0,134047000000.0,48351000000.0,6.27664479533298,0.05746730222036652,-841365404880.0,-6.27664479533298,0.05746730222036652,4.0,1.0,1.0,6.0
2018-01-31,MSFT,87.18409729003906,731386980000.0,89647000000.0,24842000000.0,8.158521534462949,0.0339656032706516,-731386980000.0,-8.158521534462949,0.0339656032706516,3.0,2.0,2.0,7.0
2018-01-31,ADBE,199.7600000000027,98294105360.0,8459869000.0,1693954000.0,11.618868490753226,0.017233525792782086,-98294105360.0,-11.618868490753226,0.017233525792782086,1.0,3.0,4.0,8.0
2018-01-31,NVDA,6.076589584350586,149076000000.0,6352000000.0,2582000000.0,23.4691435768262,0.01732002468539537,-149076000000.0,-23.4691435768262,0.01732002468539537,2.0,4.0,3.0,9.0
2018-02-28,AAPL,9.498619075607392,895031091240.0,140199000000.0,50525000000.0,6.3840048162968355,0.05645055294112891,-895031091240.0,-6.3840048162968355,0.05645055294112891,5.0,1.0,1.0,7.0
2018-02-28,ADBE,209.1300000000028,102904716930.0,8459869000.0,1693954000.0,12.163866477128664,0.016461383409200735,-102904716930.0,-12.163866477128664,0.016461383409200735,2.0,3.0,4.0,9.0
2018-02-28,MSFT,86.45040130615234,721841460000.0,78360000000.0,12273000000.0,9.211861408882083,0.017002348410411337,-721841460000.0,-9.211861408882083,0.017002348410411337,4.0,2.0,3.0,9.0
2018-02-28,AMD,12.109999999999904,11722480000.0,596000000.0,47000000.0,19.668590604026846,0.004009390504398387,-11722480000.0,-19.668590604026846,0.004009390504398387,1.0,4.0,5.0,10.0
2018-02-28,NVDA,5.986363410949707,146652000000.0,6352000000.0,2582000000.0,23.087531486146094,0.01760630608515397,-146652000000.0,-23.087531486146094,0.01760630608515397,3.0,5.0,2.0,10.0
2018-03-29,AAPL,8.948283633993485,843174360600.0,140199000000.0,50525000000.0,6.014125354674427,0.05992236287171562,-843174360600.0,-6.014125354674427,0.05992236287171562,5.0,1.0,1.0,7.0
2018-03-29,ADBE,216.0800000000029,106292777120.0,8634028000.0,1878584000.0,12.310914108687163,0.017673675021955246,-106292777120.0,-12.310914108687163,0.017673675021955246,2.0,3.0,3.0,8.0
2018-03-29,AMD,10.049999999999924,9728400000.0,596000000.0,47000000.0,16.322818791946307,0.004831215821717857,-9728400000.0,-16.322818791946307,0.004831215821717857,1.0,4.0,5.0,10.0
2018-03-29,MSFT,84.14556121826172,702596460000.0,78360000000.0,12273000000.0,8.966264165390506,0.017468064100408364,-702596460000.0,-8.966264165390506,0.017468064100408364,4.0,2.0,4.0,10.0
2018-03-29,NVDA,5.728850841522217,140349600000.0,7471000000.0,3047000000.0,18.785918886360594,0.021710072561660312,-140349600000.0,-18.785918886360594,0.021710072561660312,3.0,5.0,2.0,10.0
2018-04-30,AAPL,8.813899398250552,806924561760.0,140199000000.0,50525000000.0,5.755565744120857,0.06261427944366803,-806924561760.0,-5.755565744120857,0.06261427944366803,5.0,1.0,1.0,7.0
2018-04-30,ADBE,221.600000000003,109008142400.0,8634028000.0,1878584000.0,12.625409878216749,0.017233428243430007,-109008142400.0,-12.625409878216749,0.017233428243430007,2.0,3.0,4.0,9.0
2018-04-30,MSFT,86.21995544433594,718514160000.0,79239000000.0,14211000000.0,9.067683337750351,0.019778315851144812,-718514160000.0,-9.067683337750351,0.019778315851144812,4.0,2.0,3.0,9.0
2018-04-30,AMD,10.879999999999916,10575360000.0,596000000.0,47000000.0,17.743892617449664,0.004444293149358509,-10575360000.0,-17.743892617449664,0.004444293149358509,1.0,4.0,5.0,10.0
2018-04-30,NVDA,5.563361167907715,136453600000.0,7471000000.0,3047000000.0,18.264435818498193,0.022329934864305522,-136453600000.0,-18.264435818498193,0.022329934864305522,3.0,5.0,2.0,10.0
2018-05-31,AAPL,10.120059247871358,912379368960.0,126878000000.0,53318000000.0,7.190997406642602,0.05843841039585972,-912379368960.0,-7.190997406642602,0.05843841039585972,5.0,1.0,1.0,7.0
2018-05-31,ADBE,249.28000000000324,122624321920.0,8634028000.0,1878584000.0,14.20244663556801,0.015319831910879692,-122624321920.0,-14.20244663556801,0.015319831910879692,2.0,3.0,4.0,9.0
2018-05-31,MSFT,91.51963806152344,759387720000.0,79239000000.0,14211000000.0,9.583509635406807,0.0187137606070322,-759387720000.0,-9.583509635406807,0.0187137606070322,4.0,2.0,3.0,9.0
2018-05-31,AMD,13.729999999999894,13345560000.0,715000000.0,161000000.0,18.665118881118882,0.01206393736943223,-13345560000.0,-18.665118881118882,0.01206393736943223,1.0,4.0,5.0,10.0
2018-05-31,NVDA,6.242291450500488,152964000000.0,7717000000.0,3784000000.0,19.821692367500322,0.024737846813629352,-152964000000.0,-19.821692367500322,0.024737846813629352,3.0,5.0,2.0,10.0
2018-06-29,AAPL,10.024750470708184,903786755040.0,126878000000.0,53318000000.0,7.1232739721622345,0.058994004617427966,-903786755040.0,-7.1232739721622345,0.058994004617427966,5.0,1.0,1.0,7.0
2018-06-29,ADBE,243.810000000003,119472995250.0,8705583000.0,2167361000.0,13.723721346404945,0.018141011660959425,-119472995250.0,-13.723721346404945,0.018141011660959425,2.0,3.0,4.0,9.0
2018-06-29,MSFT,91.30667877197266,757620630000.0,79239000000.0,14211000000.0,9.5612088744179,0.018757408968654934,-757620630000.0,-9.5612088744179,0.018757408968654934,4.0,2.0,3.0,9.0
2018-06-29,NVDA,5.863828659057617,143737600000.0,7717000000.0,3784000000.0,18.626098224698715,0.026325749142882587,-143737600000.0,-18.626098224698715,0.026325749142882587,3.0,4.0,2.0,9.0
