signal_date,execution_date,next_execution_date,actual_exit_date,ticker,side,weight,entry_price,exit_price,asset_return,weighted_return
2018-01-31,2018-02-01,2018-03-01,2018-03-01,ALT,long,0.006493506493506494,1467.0000000000057,1422.000000000006,-0.030674846625766583,-0.00019918731575173108
2018-01-31,2018-02-01,2018-03-01,2018-03-01,CPSS,long,0.006493506493506494,4.510000000000034,3.7800000000000256,-0.16186252771618703,-0.0010510553747804354
2018-01-31,2018-02-01,2018-03-01,2018-03-01,GLU,long,0.006493506493506494,11.895563125610352,10.666532516479492,-0.10331840503496958,-0.000670898733993309
2018-01-31,2018-02-01,2018-03-01,2018-03-01,DTST,long,0.006493506493506494,7.600000000000024,4.800000000000013,-0.3684210526315792,-0.002392344497607657
2018-01-31,2018-02-01,2018-03-01,2018-03-01,BWEN,long,0.006493506493506494,2.430000000000021,2.260000000000019,-0.06995884773662575,-0.0004542782320560114
2018-01-31,2018-02-01,2018-03-01,2018-03-01,BGFV,long,0.006493506493506494,3.380563192936791,3.645129008036191,0.07826086956521716,0.0005081874647092023
2018-01-31,2018-02-01,2018-03-01,2018-03-01,DHX,long,0.006493506493506494,2.000000000000014,1.6500000000000106,-0.1750000000000006,-0.0011363636363636404
2018-01-31,2018-02-01,2018-03-01,2018-03-01,WLFC,long,0.006493506493506494,26.739887237548828,26.477636337280273,-0.009807479662827245,-6.36849328755016e-05
2018-01-31,2018-02-01,2018-03-01,2018-03-01,ASRV,long,0.006493506493506494,3.19253552881084,3.1270055239070964,-0.020526006464884117,-0.00013328575626548128
2018-01-31,2018-02-01,2018-03-01,2018-03-01,AMS,long,0.006493506493506494,2.700000000000021,2.600000000000022,-0.037037037037036424,-0.00024050024050023652
2018-01-31,2018-02-01,2018-03-01,2018-03-01,SBFG,long,0.006493506493506494,14.170257568359375,13.853728294372559,-0.02233758084211479,-0.00014504922624749864
2018-01-31,2018-02-01,2018-03-01,2018-03-01,PNRG,long,0.006493506493506494,49.95000076293945,51.0,0.0210210054258817,0.00013650003523299806
2018-01-31,2018-02-01,2018-03-01,2018-03-01,SGA,long,0.006493506493506494,21.39126205444336,20.747909545898438,-0.030075481610552512,-0.00019529533513345788
2018-01-31,2018-02-01,2018-03-01,2018-03-01,OFG,long,0.006493506493506494,9.467888832092285,9.134217262268066,-0.035242446942681416,-0.00022884705806935985
2018-01-31,2018-02-01,2018-03-01,2018-03-01,PNBK,long,0.006493506493506494,17.76174545288086,18.61724090576172,0.04816505535170257,0.00031276009968638033
2018-01-31,2018-02-01,2018-03-01,2018-03-01,BRN,long,0.006493506493506494,2.3530010396255263,2.012690971911092,-0.14462809917355313,-0.0009391435011269684
2018-01-31,2018-02-01,2018-03-01,2018-03-01,PFSI,long,0.006493506493506494,20.58343505859375,21.216777801513672,0.030769535848463647,0.00019980218083417954
2018-01-31,2018-02-01,2018-03-01,2018-03-01,PDEX,long,0.006493506493506494,6.650000095367432,6.75,0.015037579428341719,9.764661966455663e-05
2018-01-31,2018-02-01,2018-03-01,2018-03-01,GNW,long,0.006493506493506494,3.0899999999999674,2.7199999999999718,-0.1197411003236245,-0.0007775396124910682
2018-01-31,2018-02-01,2018-03-01,2018-03-01,CIVB,long,0.006493506493506494,18.376758378782515,18.35254657591192,-0.0013175230566534468,-8.555344523723681e-06
2018-01-31,2018-02-01,2018-03-01,2018-03-01,HWBK,long,0.006493506493506494,10.92533026670358,11.748020798834878,0.07530120481927738,0.0004889688624628402
2018-01-31,2018-02-01,2018-03-01,2018-03-01,LCNB,long,0.006493506493506494,13.191278457641602,12.793118476867676,-0.03018357788840964,-0.00019599725901564704
2018-01-31,2018-02-01,2018-03-01,2018-03-01,NMFC,long,0.006493506493506494,5.426943778991699,5.345944881439209,-0.014925324611993585,-9.691769228567263e-05
2018-01-31,2018-02-01,2018-03-01,2018-03-01,BNED,long,0.006493506493506494,67099.99999999919,73499.99999999913,0.0953800298062597,0.0006193508428977904
2018-01-31,2018-02-01,2018-03-01,2018-03-01,VLGEA,long,0.006493506493506494,17.12380027770996,17.241430282592773,0.0068693866416984495,4.460640676427565e-05
2018-01-31,2018-02-01,2018-03-01,2018-03-01,FLXS,long,0.006493506493506494,35.22956868478422,30.60232963831928,-0.13134532210334615,-0.0008528917019697803
2018-01-31,2018-02-01,2018-03-01,2018-03-01,BOJA,long,0.006493506493506494,12.099999999999987,13.099999999999987,0.08264462809917372,0.0005366534292154139
2018-01-31,2018-02-01,2018-03-01,2018-03-01,FNCB,long,0.006493506493506494,5.87258761142079,7.251850797919553,0.2348646419197602,0.0015250950774010404
2018-01-31,2018-02-01,2018-03-01,2018-03-01,CVV,long,0.006493506493506494,10.08000000000008,8.760000000000066,-0.13095238095238138,-0.0008503401360544246
2018-01-31,2018-02-01,2018-03-01,2018-03-01,FSK,long,0.006493506493506494,51.05515784190764,47.408360853199945,-0.07142857142857162,-0.0004638218923933222
2018-01-31,2018-02-01,2018-03-01,2018-03-01,APT,long,0.006493506493506494,3.781699999999971,3.4999999999999742,-0.07449030859137395,-0.00048370330254138933
2018-01-31,2018-02-01,2018-03-01,2018-03-01,CHMG,long,0.006493506493506494,36.40202200461094,34.27254389617343,-0.058498896247240806,-0.00037986296264442084
2018-01-31,2018-02-01,2018-03-01,2018-03-01,IMKTA,long,0.006493506493506494,30.411570098495687,29.86931327653141,-0.017830609212481918,-0.00011578317670442805
2018-01-31,2018-02-01,2018-03-01,2018-03-01,LCTX,long,0.006493506493506494,2.6684160232543945,2.3534560203552246,-0.11803257069152406,-0.0007664452642306758
2018-01-31,2018-02-01,2018-03-01,2018-03-01,CRWS,long,0.006493506493506494,4.007739652003296,3.534603720864018,-0.11805555555555547,-0.0007665945165945161
2018-01-31,2018-02-01,2018-03-01,2018-03-01,KELYB,long,0.006493506493506494,24.195703506469727,26.055362701416016,0.07685906691859712,0.0004990848501207606
2018-01-31,2018-02-01,2018-03-01,2018-03-01,ULBI,long,0.006493506493506494,6.900000095367432,7.849999904632568,0.13768112987461456,0.0008940333108741206
2018-01-31,2018-02-01,2018-03-01,2018-03-01,CNNE,long,0.006493506493506494,16.72476068842536,17.71472944858258,0.05919180421172454,0.00038436236501119837
2018-01-31,2018-02-01,2018-03-01,2018-03-01,GBDC,long,0.006493506493506494,8.551252972848522,8.3689135163471,-0.021323127392018026,-0.00013846186618193525
2018-01-31,2018-02-01,2018-03-01,2018-03-01,TSBK,long,0.006493506493506494,21.50720977783203,21.807886123657227,0.013980258198583728,9.078089739340084e-05
2018-01-31,2018-02-01,2018-03-01,2018-03-01,ESSA,long,0.006493506493506494,12.90961678262675,11.551550660692008,-0.10519801980197996,-0.0006831040246881816
2018-01-31,2018-02-01,2018-03-01,2018-03-01,BWFG,long,0.006493506493506494,28.25821348452858,26.14954673237456,-0.07462137524399826,-0.0004845543847012874
2018-01-31,2018-02-01,2018-03-01,2018-03-01,OCLR,long,0.006493506493506494,6.210000038146973,7.110000133514404,0.14492755069869312,0.0009410879915499554
2018-01-31,2018-02-01,2018-03-01,2018-03-01,MTH,long,0.006493506493506494,23.69007682800293,20.386680603027344,-0.13944219130057,-0.0009054687746790261
2018-01-31,2018-02-01,2018-03-01,2018-03-01,BHB,long,0.006493506493506494,20.78049994037381,20.567137281364197,-0.010267445904661776,-6.66717266536479e-05
2018-01-31,2018-02-01,2018-03-01,2018-03-01,GBX,long,0.006493506493506494,39.67601958412991,40.34648909996513,0.0168986083499012,0.00010973122305130651
