signal_date,ticker,adj_close_t,market_cap,book_equity,ttm_net_income,pb,ep,size_signal,pb_signal,ep_signal,rank_size,rank_pb,rank_ep,ff3_score,side,execution_date,adj_close_e
2018-01-31,ALT,1629.000000000006,36736773.0,48830244.0,42588376.0,0.7523364618042867,1.1592846219780926,-36736773.0,-0.7523364618042867,1.1592846219780926,10.0,15.0,3.0,28.0,long,2018-02-01,1467.0000000000057
2018-01-31,CPSS,4.480000000000035,96660480.0,194695000.0,21180000.0,0.49647130126608285,0.21911747179405688,-96660480.0,-0.49647130126608285,0.21911747179405688,30.0,7.0,8.0,45.0,long,2018-02-01,4.510000000000034
2018-01-31,GLU,11.850923538208008,87296400.0,143560051.0,21650634.0,0.6080828154623601,0.24801290774877313,-87296400.0,-0.6080828154623601,0.24801290774877313,29.0,11.0,5.0,45.0,long,2018-02-01,11.895563125610352
2018-01-31,DTST,7.200000000000022,576627.3,2084841.0,47828.0,0.276580947899624,0.08294439059683785,-576627.3,-0.276580947899624,0.08294439059683785,1.0,4.0,45.0,50.0,long,2018-02-01,7.600000000000024
2018-01-31,BWEN,2.470000000000021,37134906.0,72749000.0,3638000.0,0.5104524598276265,0.09796712559337029,-37134906.0,-0.5104524598276265,0.09796712559337029,11.0,8.0,32.0,51.0,long,2018-02-01,2.430000000000021
2018-01-31,BGFV,3.321770789581369,118322300.0,203486000.0,21748000.0,0.5814763669245059,0.1838030531860858,-118322300.0,-0.5814763669245059,0.1838030531860858,35.0,10.0,13.0,58.0,long,2018-02-01,3.380563192936791
2018-01-31,DHX,1.800000000000013,86864400.0,118316000.0,9698000.0,0.7341728929307955,0.11164527700646064,-86864400.0,-0.7341728929307955,0.11164527700646064,27.0,14.0,24.0,65.0,long,2018-02-01,2.000000000000014
2018-01-31,WLFC,26.225095748901367,164808000.0,215591000.0,22156000.0,0.7644474954891438,0.1344352215911849,-164808000.0,-0.7644474954891438,0.1344352215911849,40.0,17.0,18.0,75.0,long,2018-02-01,26.739887237548828
2018-01-31,ASRV,3.1540712453311905,74123900.0,97110000.0,5438000.0,0.7632983214910926,0.07336365193952288,-74123900.0,-0.7632983214910926,0.07336365193952288,25.0,16.0,64.0,105.0,long,2018-02-01,3.19253552881084
2018-01-31,AMS,2.700000000000021,15708600.0,22273000.0,957000.0,0.7052754456067885,0.06092204270272335,-15708600.0,-0.7052754456067885,0.06092204270272335,3.0,13.0,94.0,110.0,long,2018-02-01,2.700000000000021
2018-01-31,SBFG,14.391192436218262,104251150.0,90909000.0,9350000.0,1.1467637967637967,0.08968726004461341,-104251150.0,-1.1467637967637967,0.08968726004461341,31.0,45.0,39.0,115.0,long,2018-02-01,14.170257568359375
