signal_date,ticker,adj_close_t,market_cap,book_equity,ttm_net_income,pb,ep,size_signal,pb_signal,ep_signal,rank_size,rank_pb,rank_ep,ff3_score,side,execution_date,adj_close_e,weight
2018-01-31,DTST,7.200000000000022,576627.3,2084841.0,47828.0,0.276580947899624,0.08294439059683785,-576627.3,-0.276580947899624,0.08294439059683785,1.0,1.0,7.0,9.0,long,2018-02-01,7.600000000000024,0.05555555555555555
2018-01-31,BWEN,2.470000000000021,37134906.0,72749000.0,3638000.0,0.5104524598276265,0.09796712559337029,-37134906.0,-0.5104524598276265,0.09796712559337029,4.0,2.0,4.0,10.0,long,2018-02-01,2.430000000000021,0.05555555555555555
2018-01-31,AMS,2.700000000000021,15708600.0,22273000.0,957000.0,0.7052754456067885,0.06092204270272335,-15708600.0,-0.7052754456067885,0.06092204270272335,2.0,3.0,17.0,22.0,long,2018-02-01,2.700000000000021,0.05555555555555555
2018-01-31,IMKTA,30.366382029998668,680728473.0,511052003.0,53873582.0,1.3320140983773818,0.07914107333071699,-680728473.0,-1.3320140983773818,0.07914107333071699,13.0,6.0,10.0,29.0,long,2018-02-01,30.411570098495687,0.05555555555555555
2018-01-31,CRWS,3.952076601281028,71610600.0,38891000.0,4713000.0,1.8413154714458357,0.06581427889167246,-71610600.0,-1.8413154714458357,0.06581427889167246,5.0,17.0,12.0,34.0,long,2018-02-01,4.007739652003296,0.05555555555555555
2018-01-31,AVT,35.06544483910952,5080746182.0,5248544000.0,458244000.0,0.9680296444118598,0.09019226381027667,-5080746182.0,-0.9680296444118598,0.09019226381027667,30.0,4.0,6.0,40.0,long,2018-02-01,35.0159406816896,0.05555555555555555
2018-01-31,JRVR,32.11152267456055,1131044160.0,720969000.0,69014000.0,1.5687833457471818,0.06101795353419269,-1131044160.0,-1.5687833457471818,0.06101795353419269,17.0,14.0,16.0,47.0,long,2018-02-01,31.984758377075195,0.05555555555555555
2018-01-31,QCRH,42.02405548095703,609017784.0,313039000.0,34334247.0,1.9455013081437138,0.056376427588853466,-609017784.0,-1.9455013081437138,0.056376427588853466,10.0,20.0,19.0,49.0,long,2018-02-01,42.31156539916992,0.05555555555555555
2018-01-31,NMRK,14.579279899597168,2586077340.0,1270720000.0,243116000.0,2.0351275969529086,0.09400956276118176,-2586077340.0,-2.0351275969529086,0.09400956276118176,23.0,23.0,5.0,51.0,long,2018-02-01,14.623165130615234,0.05555555555555555
2018-01-31,BERY,47.62164303466756,7771647000.0,1015000000.0,340000000.0,7.656795073891626,0.04374877037003868,-7771647000.0,-7.656795073891626,0.04374877037003868,32.0,43.0,25.0,100.0,short,2018-02-01,47.42007921615497,-0.05555555555555555
2018-01-31,BLK,459.8990369400881,90954075050.0,30042000000.0,3508000000.0,3.0275639121896014,0.038568915115365136,-90954075050.0,-3.0275639121896014,0.038568915115365136,45.0,31.0,30.0,106.0,short,2018-02-01,462.6741486083454,-0.05555555555555555
2018-01-31,ALLE,77.59000558843341,8189061000.0,367200000.0,338500000.0,22.301364379084966,0.041335630544210133,-8189061000.0,-22.301364379084966,0.041335630544210133,34.0,47.0,26.0,107.0,short,2018-02-01,76.74301214686881,-0.05555555555555555
2018-01-31,DLTR,115.00000000000126,27278000000.0,6116500000.0,996000000.0,4.459740047412736,0.03651294083143926,-27278000000.0,-4.459740047412736,0.03651294083143926,37.0,39.0,33.0,109.0,short,2018-02-01,113.87000000000126,-0.05555555555555555
2018-01-31,BALL,35.04449913599274,13406230200.0,3529000000.0,268000000.0,3.7988750920940775,0.019990705515410292,-13406230200.0,-3.7988750920940775,0.019990705515410292,35.0,36.0,42.0,113.0,short,2018-02-01,35.10858259836263,-0.05555555555555555
2018-01-31,BAX,62.67073446799572,38824170000.0,9466000000.0,1031000000.0,4.101433551658568,0.026555622438290374,-38824170000.0,-4.101433551658568,0.026555622438290374,40.0,37.0,40.0,117.0,short,2018-02-01,60.86100063912676,-0.05555555555555555
2018-01-31,ECL,126.37747453874088,39734448000.0,7222300000.0,1307800000.0,5.501633551638674,0.032913506184860046,-39734448000.0,-5.501633551638674,0.032913506184860046,42.0,40.0,35.0,117.0,short,2018-02-01,127.12097943688426,-0.05555555555555555
2018-01-31,EA,123.43196163999627,38976720000.0,4388000000.0,1187000000.0,8.88257064721969,0.030454076176753712,-38976720000.0,-8.88257064721969,0.030454076176753712,41.0,45.0,36.0,122.0,short,2018-02-01,124.61805957005927,-0.05555555555555555
2018-01-31,CAT,137.02754171632986,97342440000.0,15627000000.0,882000000.0,6.229118832789403,0.009060796092639552,-97342440000.0,-6.229118832789403,0.009060796092639552,47.0,42.0,47.0,136.0,short,2018-02-01,136.5729719133638,-0.05555555555555555
2018-02-28,DTST,4.800000000000013,384418.2,2084841.0,47828.0,0.18438729859974934,0.12441658589525678,-384418.2,-0.18438729859974934,0.12441658589525678,1.0,1.0,4.0,6.0,long,2018-03-01,4.800000000000013,0.0625
