signal_date,ticker,adj_close_t,market_cap,book_equity,ttm_net_income,pb,ep,size_signal,pb_signal,ep_signal,rank_size,rank_pb,rank_ep,ff3_score
2018-01-31,DTST,7.200000000000022,576627.3,2084841.0,47828.0,0.276580947899624,0.08294439059683785,-576627.3,-0.276580947899624,0.08294439059683785,1.0,1.0,7.0,9.0
2018-01-31,BWEN,2.470000000000021,37134906.0,72749000.0,3638000.0,0.5104524598276265,0.09796712559337029,-37134906.0,-0.5104524598276265,0.09796712559337029,4.0,2.0,4.0,10.0
2018-01-31,AMS,2.700000000000021,15708600.0,22273000.0,957000.0,0.7052754456067885,0.06092204270272335,-15708600.0,-0.7052754456067885,0.06092204270272335,2.0,3.0,17.0,22.0
2018-01-31,IMKTA,30.366382029998668,680728473.0,511052003.0,53873582.0,1.3320140983773818,0.07914107333071699,-680728473.0,-1.3320140983773818,0.07914107333071699,13.0,6.0,10.0,29.0
2018-01-31,CRWS,3.952076601281028,71610600.0,38891000.0,4713000.0,1.8413154714458357,0.06581427889167246,-71610600.0,-1.8413154714458357,0.06581427889167246,5.0,17.0,12.0,34.0
2018-01-31,AVT,35.06544483910952,5080746182.0,5248544000.0,458244000.0,0.9680296444118598,0.09019226381027667,-5080746182.0,-0.9680296444118598,0.09019226381027667,30.0,4.0,6.0,40.0
2018-01-31,JRVR,32.11152267456055,1131044160.0,720969000.0,69014000.0,1.5687833457471818,0.06101795353419269,-1131044160.0,-1.5687833457471818,0.06101795353419269,17.0,14.0,16.0,47.0
2018-01-31,QCRH,42.02405548095703,609017784.0,313039000.0,34334247.0,1.9455013081437138,0.056376427588853466,-609017784.0,-1.9455013081437138,0.056376427588853466,10.0,20.0,19.0,49.0
2018-01-31,NMRK,14.579279899597168,2586077340.0,1270720000.0,243116000.0,2.0351275969529086,0.09400956276118176,-2586077340.0,-2.0351275969529086,0.09400956276118176,23.0,23.0,5.0,51.0
2018-01-31,ICFI,50.51644946662333,991377000.0,584786000.0,48479000.0,1.695281692790183,0.04890067048156251,-991377000.0,-1.695281692790183,0.04890067048156251,15.0,16.0,22.0,53.0
2018-01-31,MSBI,21.391759872436523,670736772.0,450689000.0,25648000.0,1.488247487735445,0.038238547625058496,-670736772.0,-1.488247487735445,0.038238547625058496,12.0,11.0,31.0,54.0
2018-01-31,SMCI,2.2829999923706055,1126890000.0,776860000.0,43522000.0,1.4505702443168653,0.03862133837375432,-1126890000.0,-1.4505702443168653,0.03862133837375432,16.0,9.0,29.0,54.0
2018-01-31,FRBA,12.31072817756698,242238524.0,163250000.0,6993000.0,1.4838500704441042,0.0288682406271597,-242238524.0,-1.4838500704441042,0.0288682406271597,6.0,10.0,39.0,55.0
2018-01-31,IESC,17.4999999999999,370689690.0,236704000.0,13376000.0,1.5660474263214816,0.03608408963302972,-370689690.0,-1.5660474263214816,0.03608408963302972,8.0,13.0,34.0,55.0
2018-01-31,FHB,20.53854696444656,4034468900.0,2581858000.0,228550000.0,1.5626223053320516,0.05664933989204874,-4034468900.0,-1.5626223053320516,0.05664933989204874,26.0,12.0,18.0,56.0
2018-01-31,HDNG,18.860000000000007,244067260.0,178926000.0,5845000.0,1.3640681622570225,0.02394831654192373,-244067260.0,-1.3640681622570225,0.02394831654192373,7.0,8.0,41.0,56.0
