signal_date,ticker,adj_close_t,market_cap,book_equity,ttm_net_income,pb,ep,size_signal,pb_signal,ep_signal,rank_size,rank_pb,rank_ep,ff3_score,side,execution_date,adj_close_e
2018-01-31,ALT,1629.000000000006,36736773.0,48830244.0,42588376.0,0.7523364618042867,1.1592846219780926,-36736773.0,-0.7523364618042867,1.1592846219780926,4.0,7.0,3.0,14.0,long,2018-02-01,1467.0000000000057
2018-01-31,DTST,7.200000000000022,576627.3,2084841.0,47828.0,0.276580947899624,0.08294439059683785,-576627.3,-0.276580947899624,0.08294439059683785,1.0,3.0,17.0,21.0,long,2018-02-01,7.600000000000024
2018-01-31,BWEN,2.470000000000021,37134906.0,72749000.0,3638000.0,0.5104524598276265,0.09796712559337029,-37134906.0,-0.5104524598276265,0.09796712559337029,5.0,5.0,12.0,22.0,long,2018-02-01,2.430000000000021
2018-01-31,WLFC,26.225095748901367,164808000.0,215591000.0,22156000.0,0.7644474954891438,0.1344352215911849,-164808000.0,-0.7644474954891438,0.1344352215911849,11.0,8.0,9.0,28.0,long,2018-02-01,26.739887237548828
2018-01-31,SBFG,14.391188621520996,104251150.0,90909000.0,9350000.0,1.1467637967637967,0.08968726004461341,-104251150.0,-1.1467637967637967,0.08968726004461341,9.0,18.0,15.0,42.0,long,2018-02-01,14.170259475708008
2018-01-31,AMS,2.700000000000021,15708600.0,22273000.0,957000.0,0.7052754456067885,0.06092204270272335,-15708600.0,-0.7052754456067885,0.06092204270272335,2.0,6.0,38.0,46.0,long,2018-02-01,2.700000000000021
2018-01-31,PFSI,20.085817337036133,529070400.0,469411000.0,100757000.0,1.1270941669453847,0.1904415745050186,-529070400.0,-1.1270941669453847,0.1904415745050186,27.0,17.0,6.0,50.0,long,2018-02-01,20.583436965942383
2018-01-31,HWBK,10.99114550927408,122491911.0,96072000.0,7773000.0,1.2750011553834624,0.06345725147516068,-122491911.0,-1.2750011553834624,0.06345725147516068,10.0,21.0,33.0,64.0,long,2018-02-01,10.92533026670358
2018-01-31,LCNB,13.123974800109863,195401914.0,149713000.0,13003000.0,1.3051766646850975,0.06654489576801177,-195401914.0,-1.3051766646850975,0.06654489576801177,15.0,22.0,28.0,65.0,long,2018-02-01,13.191278457641602
2018-01-31,BNED,66499.99999999919,316696940.0,729844000.0,17600000.0,0.4339241536547536,0.05557363452896008,-316696940.0,-0.4339241536547536,0.05557363452896008,21.0,4.0,43.0,68.0,long,2018-02-01,67099.99999999919
